agenda_number,agenda_sequence,matter_file,matter_type,title
,1,,,Mayor's Welcome
,2,,,Roll Call
,3,,,Moment of Silence
,4,,,Pledge of Allegiance
,5,,,"Awards, Recognitions and Announcements"
1,6,,,Take action on all consent agenda items.
,7,,,Items on the Consent Agenda
2,8,26-0031,Minutes,Approval of minutes of previous meetings as written.
3,9,,,Take action on the following liquor license applications:
3-a,10,26-0316,Liquor License Application,"The Guadalupe on Main A bar with a restaurant that serves lunch and dinner is requesting a new Series 7 Beer and Wine Bar License for The Guadalupe on Main LLC, 1526 East Main Street - Alysia Kay Gratton Ramos, agent. The existing license held by Alysia Kay Gratton Ramos, Sole Proprietor, will revert to the State for modification. (District 4)"
3-b,11,26-0317,Liquor License Application,"The Guadalupe on Main A restaurant that serves lunch and dinner is requesting a new Series 12 Restaurant License for The Guadalupe on Main LLC, 1526 East Main Street - Alysia Kay Gratton Ramos, agent. The existing license held by Alysia Kay Gratton Ramos, Sole Proprietor, will revert to the State. (District 4)"
,12,,,page break
4,13,,,Take action on the following contracts:
4-a,14,26-0323,Contract,"Three-Year Term Contract with Two-Year Renewal Options for Welding Certification and Inspection Services for the Energy Resources Department (Single Response) (Citywide) This contract is for an experienced contractor to provide welding certification testing, welding inspection and non-destructive testing of welds in the natural gas distribution system, and field x-ray services of welds on high pressure gas pipe. These services are required to maintain compliance with federal code 49 CFR Part 192"
4-b,15,26-0324,Contract,"Three-Year Term Contract with Two-Year Renewal Options for Streetlight Parts and Electrical Supplies for the Transportation Department (Citywide) The City of Mesa maintains approximately 45,968 streetlights that facilitate and safeguard vehicular and pedestrian traffic. This contract is the primary source for the City to purchase streetlight parts and electrical supplies for the repair of streetlight fixtures and streetlight electrical systems. The Transportation Department and Procurement Servi"
4-c,16,26-0325,Contract,"Three-Year Term Contract with Two-Year Renewal Options for Street Sweeping Services for the Transportation Department (Citywide) This contract provides arterial and collector street sweeping services for the Transportation Department, ensuring more than 16,000 center lane miles of arterial and collector streets are swept routinely or no less than monthly. Regular sweeping removes particulates, dust, and debris, helping to maintain stormwater infrastructure free and clear of debris during storm e"
4-d,17,26-0327,Contract,"Aripine Park & Whitman Park Playground Renovation, Design-Bid-Build Contract (Districts 1 & 4) This project will furnish and install new playground equipment, shade structures, site amenities, concrete ramps and new playground surfacing to the existing and new playgrounds at designated areas in each park. Sidewalk ramps, new engineered wood fiber, and new poured-in-place seamless rubber play surfacing will improve safety and make the playgrounds more accessible. Additional amenities to be instal"
5,18,,,Take action on the following resolutions:
5-a,19,26-0320,Resolution,"Setting May 18, 2026 as the public hearing date to review the proposed FY2026/2027 annual assessments for the Mesa Town Center Improvement District No. 228. The proposed final assessments do not include any rate increases. (District 4) Resolution No. 12483"
5-b,20,26-0311,Resolution,"Approving and authorizing the sale of certain City-owned real property located at 8130 East Redberry, Mesa, Arizona, and authorizing the City Manager to enter into necessary deal documents, including a purchase agreement and development agreement. (District 5) Resolution No. 12484"
5-c,21,26-0328,Resolution,"Authorizing the issuance and sale of General Obligation Bonds, Series 2026, not to exceed $61,000,000. (Citywide) Resolution No. 12485"
5-d,22,26-0329,Resolution,"Authorizing the sale, execution, and delivery of Utility Systems Revenue Refunding Obligations, Series 2026, not to exceed $225,000,000. (Citywide) Resolution No. 12486"
